0.00.001.786 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.001.868 I srv          init: The UI is disabled
0.00.001.868 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.001.948 W srv  llama_server: -----------------
0.00.001.948 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.001.948 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.001.948 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.001.948 W srv  llama_server: -----------------
0.00.003.147 I srv    load_model: loading model '/run/media/hs/9CECDCA0ECDC75CC/Users/HS/Documents/Graduation Project/benchmark-models/DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf'
0.00.383.879 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.171.633 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 3072, kv_unified = 'false'
0.01.175.605 I srv  llama_server: model loaded
0.01.175.611 I srv  llama_server: listening on http://127.0.0.1:19201
1.01.673.953 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.07.337.904 I slot print_timing: id  1 | task 0 | prompt eval time =    2863.45 ms /   128 tokens (   22.37 ms per token,    44.70 tokens per second)
1.07.337.906 I slot print_timing: id  1 | task 0 |        eval time =    2800.37 ms /    64 tokens (   43.76 ms per token,    22.85 tokens per second)
1.07.337.907 I slot print_timing: id  1 | task 0 |       total time =    5663.83 ms /   192 tokens
1.07.337.907 I slot print_timing: id  1 | task 0 |    graphs reused =         63
1.07.337.918 I slot      release: id  1 | task 0 | stop processing: n_tokens = 191, truncated = 0
1.07.338.257 I slot print_timing: id  2 | task 2 | prompt eval time =    2864.64 ms /   128 tokens (   22.38 ms per token,    44.68 tokens per second)
1.07.338.258 I slot print_timing: id  2 | task 2 |        eval time =    2799.51 ms /    64 tokens (   43.74 ms per token,    22.86 tokens per second)
1.07.338.258 I slot print_timing: id  2 | task 2 |       total time =    5664.16 ms /   192 tokens
1.07.338.259 I slot print_timing: id  2 | task 2 |    graphs reused =         63
1.07.338.268 I slot      release: id  2 | task 2 | stop processing: n_tokens = 191, truncated = 0
1.07.338.595 I slot print_timing: id  3 | task 1 | prompt eval time =    2865.64 ms /   128 tokens (   22.39 ms per token,    44.67 tokens per second)
1.07.338.642 I slot print_timing: id  3 | task 1 |        eval time =    2798.83 ms /    64 tokens (   43.73 ms per token,    22.87 tokens per second)
1.07.338.678 I slot print_timing: id  3 | task 1 |       total time =    5664.47 ms /   192 tokens
1.07.338.710 I slot print_timing: id  3 | task 1 |    graphs reused =         63
1.07.338.751 I slot      release: id  3 | task 1 | stop processing: n_tokens = 191, truncated = 0
1.34.905.694 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
1.34.905.725 I slot launch_slot_: id  0 | task 68 | processing task, is_child = 0
1.38.067.475 I slot print_timing: id  0 | task 68 | prompt eval time =     714.86 ms /   128 tokens (    5.58 ms per token,   179.06 tokens per second)
1.38.067.480 I slot print_timing: id  0 | task 68 |        eval time =    2444.03 ms /    64 tokens (   38.19 ms per token,    26.19 tokens per second)
1.38.067.480 I slot print_timing: id  0 | task 68 |       total time =    3158.88 ms /   192 tokens
1.38.067.481 I slot print_timing: id  0 | task 68 |    graphs reused =        125
1.38.067.491 I slot      release: id  0 | task 68 | stop processing: n_tokens = 191, truncated = 0
1.46.796.141 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
1.46.796.167 I slot launch_slot_: id  0 | task 133 | processing task, is_child = 0
1.47.826.830 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3446558712
1.47.826.876 I slot launch_slot_: id  1 | task 143 | processing task, is_child = 0
1.53.934.243 I slot print_timing: id  1 | task 143 | prompt processing, n_tokens =   1022, progress = 0.50, t =   6.11 s / 167.34 tokens per second
1.57.297.014 I slot print_timing: id  1 | task 143 | prompt processing, n_tokens =   1533, progress = 0.75, t =   9.47 s / 161.88 tokens per second
2.00.876.971 I slot print_timing: id  1 | task 143 | prompt processing, n_tokens =   2044, progress = 1.00, t =  13.05 s / 156.63 tokens per second
2.01.260.587 I slot print_timing: id  1 | task 143 | prompt eval time =   13145.58 ms /  2048 tokens (    6.42 ms per token,   155.79 tokens per second)
2.01.260.592 I slot print_timing: id  1 | task 143 |        eval time =     288.07 ms /     8 tokens (   36.01 ms per token,    27.77 tokens per second)
2.01.260.593 I slot print_timing: id  1 | task 143 |       total time =   13433.66 ms /  2056 tokens
2.01.260.593 I slot print_timing: id  1 | task 143 |    graphs reused =        138
2.01.260.656 I slot      release: id  1 | task 143 | stop processing: n_tokens = 2055, truncated = 0
2.04.306.091 I slot print_timing: id  0 | task 133 | n_decoded =    100, tg =   5.96 t/s, tg_3s =   5.96 t/s
2.05.391.443 I slot print_timing: id  0 | task 133 | prompt eval time =     718.14 ms /   128 tokens (    5.61 ms per token,   178.24 tokens per second)
2.05.391.446 I slot print_timing: id  0 | task 133 |        eval time =   17877.03 ms /   128 tokens (  139.66 ms per token,     7.16 tokens per second)
2.05.391.447 I slot print_timing: id  0 | task 133 |       total time =   18595.17 ms /   256 tokens
2.05.391.447 I slot print_timing: id  0 | task 133 |    graphs reused =        244
2.05.391.458 I slot      release: id  0 | task 133 | stop processing: n_tokens = 255, truncated = 0
2.30.482.244 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.502
2.30.482.266 I slot launch_slot_: id  0 | task 263 | processing task, is_child = 0
2.31.541.361 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.997
2.31.541.385 I slot launch_slot_: id  1 | task 273 | processing task, is_child = 0
2.37.660.005 I slot print_timing: id  1 | task 273 | prompt processing, n_tokens =   1022, progress = 0.50, t =   6.12 s / 167.03 tokens per second
2.41.006.291 I slot print_timing: id  1 | task 273 | prompt processing, n_tokens =   1533, progress = 0.75, t =   9.46 s / 161.97 tokens per second
2.44.534.178 I slot print_timing: id  1 | task 273 | prompt processing, n_tokens =   2044, progress = 1.00, t =  12.99 s / 157.32 tokens per second
2.44.924.391 I slot print_timing: id  1 | task 273 | prompt eval time =   13090.88 ms /  2048 tokens (    6.39 ms per token,   156.44 tokens per second)
2.44.924.397 I slot print_timing: id  1 | task 273 |        eval time =     292.03 ms /     8 tokens (   36.50 ms per token,    27.39 tokens per second)
2.44.924.398 I slot print_timing: id  1 | task 273 |       total time =   13382.91 ms /  2056 tokens
2.44.924.399 I slot print_timing: id  1 | task 273 |    graphs reused =        257
2.44.924.467 I slot      release: id  1 | task 273 | stop processing: n_tokens = 2055, truncated = 0
2.47.951.302 I slot print_timing: id  0 | task 263 | n_decoded =    100, tg =   5.98 t/s, tg_3s =   5.98 t/s
2.49.032.802 I slot print_timing: id  0 | task 263 | prompt eval time =     719.52 ms /   128 tokens (    5.62 ms per token,   177.90 tokens per second)
2.49.032.805 I slot print_timing: id  0 | task 263 |        eval time =   17801.10 ms /   128 tokens (  139.07 ms per token,     7.19 tokens per second)
2.49.032.806 I slot print_timing: id  0 | task 263 |       total time =   18520.62 ms /   256 tokens
2.49.032.807 I slot print_timing: id  0 | task 263 |    graphs reused =        363
2.49.032.818 I slot      release: id  0 | task 263 | stop processing: n_tokens = 255, truncated = 0
3.16.513.222 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.502
3.16.513.255 I slot launch_slot_: id  0 | task 393 | processing task, is_child = 0
3.17.540.243 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.997
3.17.540.264 I slot launch_slot_: id  1 | task 403 | processing task, is_child = 0
3.20.594.493 I slot print_timing: id  1 | task 403 | prompt processing, n_tokens =    511, progress = 0.25, t =   3.05 s / 167.31 tokens per second
3.23.822.260 I slot print_timing: id  1 | task 403 | prompt processing, n_tokens =   1022, progress = 0.50, t =   6.28 s / 162.69 tokens per second
3.27.220.118 I slot print_timing: id  1 | task 403 | prompt processing, n_tokens =   1533, progress = 0.75, t =   9.68 s / 158.37 tokens per second
3.30.845.263 I slot print_timing: id  1 | task 403 | prompt processing, n_tokens =   2044, progress = 1.00, t =  13.30 s / 153.63 tokens per second
3.31.232.204 I slot print_timing: id  1 | task 403 | prompt eval time =   13396.59 ms /  2048 tokens (    6.54 ms per token,   152.87 tokens per second)
3.31.232.222 I slot print_timing: id  1 | task 403 |        eval time =     295.20 ms /     8 tokens (   36.90 ms per token,    27.10 tokens per second)
3.31.232.224 I slot print_timing: id  1 | task 403 |       total time =   13691.79 ms /  2056 tokens
3.31.232.231 I slot print_timing: id  1 | task 403 |    graphs reused =        376
3.31.232.752 I slot      release: id  1 | task 403 | stop processing: n_tokens = 2055, truncated = 0
3.34.286.280 I slot print_timing: id  0 | task 393 | n_decoded =    100, tg =   5.86 t/s, tg_3s =   5.86 t/s
3.35.376.808 I slot print_timing: id  0 | task 393 | prompt eval time =     713.34 ms /   128 tokens (    5.57 ms per token,   179.44 tokens per second)
3.35.376.812 I slot print_timing: id  0 | task 393 |        eval time =   18150.03 ms /   128 tokens (  141.80 ms per token,     7.05 tokens per second)
3.35.376.813 I slot print_timing: id  0 | task 393 |       total time =   18863.37 ms /   256 tokens
3.35.376.814 I slot print_timing: id  0 | task 393 |    graphs reused =        482
3.35.376.828 I slot      release: id  0 | task 393 | stop processing: n_tokens = 255, truncated = 0
5.05.723.081 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.502
5.05.723.110 I slot launch_slot_: id  0 | task 523 | processing task, is_child = 0
5.08.990.486 I slot print_timing: id  0 | task 523 | prompt eval time =     743.65 ms /   128 tokens (    5.81 ms per token,   172.12 tokens per second)
5.08.990.493 I slot print_timing: id  0 | task 523 |        eval time =    2523.55 ms /    64 tokens (   39.43 ms per token,    25.36 tokens per second)
5.08.990.494 I slot print_timing: id  0 | task 523 |       total time =    3267.20 ms /   192 tokens
5.08.990.495 I slot print_timing: id  0 | task 523 |    graphs reused =        544
5.08.990.508 I slot      release: id  0 | task 523 | stop processing: n_tokens = 191, truncated = 0
5.15.014.221 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.15.014.253 I slot launch_slot_: id  0 | task 588 | processing task, is_child = 0
5.18.100.719 I slot print_timing: id  0 | task 588 | prompt eval time =     703.08 ms /   128 tokens (    5.49 ms per token,   182.06 tokens per second)
5.18.100.722 I slot print_timing: id  0 | task 588 |        eval time =    2383.20 ms /    64 tokens (   37.24 ms per token,    26.85 tokens per second)
5.18.100.723 I slot print_timing: id  0 | task 588 |       total time =    3086.28 ms /   192 tokens
5.18.100.723 I slot print_timing: id  0 | task 588 |    graphs reused =        606
5.18.100.733 I slot      release: id  0 | task 588 | stop processing: n_tokens = 191, truncated = 0
5.18.102.469 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.18.102.498 I slot launch_slot_: id  0 | task 653 | processing task, is_child = 0
5.18.102.613 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.062
5.18.102.682 I slot launch_slot_: id  1 | task 654 | processing task, is_child = 0
5.18.102.726 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.18.102.734 I slot launch_slot_: id  2 | task 655 | processing task, is_child = 0
5.18.102.756 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.18.103.843 I slot launch_slot_: id  3 | task 656 | processing task, is_child = 0
5.23.595.925 I slot print_timing: id  0 | task 653 | prompt eval time =    2799.99 ms /   128 tokens (   21.87 ms per token,    45.71 tokens per second)
5.23.595.931 I slot print_timing: id  0 | task 653 |        eval time =    2692.06 ms /    64 tokens (   42.06 ms per token,    23.77 tokens per second)
5.23.595.932 I slot print_timing: id  0 | task 653 |       total time =    5492.05 ms /   192 tokens
5.23.595.933 I slot print_timing: id  0 | task 653 |    graphs reused =        668
5.23.595.946 I slot      release: id  0 | task 653 | stop processing: n_tokens = 191, truncated = 0
5.23.596.239 I slot print_timing: id  1 | task 654 | prompt eval time =    2800.96 ms /   128 tokens (   21.88 ms per token,    45.70 tokens per second)
5.23.596.243 I slot print_timing: id  1 | task 654 |        eval time =    2691.36 ms /    64 tokens (   42.05 ms per token,    23.78 tokens per second)
5.23.596.244 I slot print_timing: id  1 | task 654 |       total time =    5492.32 ms /   192 tokens
5.23.596.245 I slot print_timing: id  1 | task 654 |    graphs reused =        668
5.23.596.255 I slot      release: id  1 | task 654 | stop processing: n_tokens = 191, truncated = 0
5.23.596.528 I slot print_timing: id  2 | task 655 | prompt eval time =    2801.67 ms /   128 tokens (   21.89 ms per token,    45.69 tokens per second)
5.23.596.531 I slot print_timing: id  2 | task 655 |        eval time =    2690.76 ms /    64 tokens (   42.04 ms per token,    23.79 tokens per second)
5.23.596.532 I slot print_timing: id  2 | task 655 |       total time =    5492.43 ms /   192 tokens
5.23.596.533 I slot print_timing: id  2 | task 655 |    graphs reused =        668
5.23.596.541 I slot      release: id  2 | task 655 | stop processing: n_tokens = 191, truncated = 0
5.23.596.780 I slot print_timing: id  3 | task 656 | prompt eval time =    2802.57 ms /   128 tokens (   21.90 ms per token,    45.67 tokens per second)
5.23.596.783 I slot print_timing: id  3 | task 656 |        eval time =    2690.06 ms /    64 tokens (   42.03 ms per token,    23.79 tokens per second)
5.23.596.783 I slot print_timing: id  3 | task 656 |       total time =    5492.63 ms /   192 tokens
5.23.596.783 I slot print_timing: id  3 | task 656 |    graphs reused =        668
5.23.596.788 I slot      release: id  3 | task 656 | stop processing: n_tokens = 191, truncated = 0
5.26.692.540 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.26.692.566 I slot launch_slot_: id  0 | task 721 | processing task, is_child = 0
5.29.769.615 I slot print_timing: id  0 | task 721 | prompt eval time =     708.45 ms /   128 tokens (    5.53 ms per token,   180.68 tokens per second)
5.29.769.618 I slot print_timing: id  0 | task 721 |        eval time =    2368.51 ms /    64 tokens (   37.01 ms per token,    27.02 tokens per second)
5.29.769.619 I slot print_timing: id  0 | task 721 |       total time =    3076.95 ms /   192 tokens
5.29.769.619 I slot print_timing: id  0 | task 721 |    graphs reused =        730
5.29.769.630 I slot      release: id  0 | task 721 | stop processing: n_tokens = 191, truncated = 0
5.29.771.263 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.29.771.287 I slot launch_slot_: id  0 | task 786 | processing task, is_child = 0
5.29.771.387 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.29.771.397 I slot launch_slot_: id  1 | task 788 | processing task, is_child = 0
5.29.771.457 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.29.771.466 I slot launch_slot_: id  2 | task 787 | processing task, is_child = 0
5.29.771.496 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.29.771.503 I slot launch_slot_: id  3 | task 789 | processing task, is_child = 0
5.35.193.286 I slot print_timing: id  0 | task 786 | prompt eval time =    2752.31 ms /   128 tokens (   21.50 ms per token,    46.51 tokens per second)
5.35.193.291 I slot print_timing: id  0 | task 786 |        eval time =    2669.45 ms /    64 tokens (   41.71 ms per token,    23.98 tokens per second)
5.35.193.292 I slot print_timing: id  0 | task 786 |       total time =    5421.76 ms /   192 tokens
5.35.193.293 I slot print_timing: id  0 | task 786 |    graphs reused =        792
5.35.193.307 I slot      release: id  0 | task 786 | stop processing: n_tokens = 191, truncated = 0
5.35.193.646 I slot print_timing: id  1 | task 788 | prompt eval time =    2752.53 ms /   128 tokens (   21.50 ms per token,    46.50 tokens per second)
5.35.193.653 I slot print_timing: id  1 | task 788 |        eval time =    2669.54 ms /    64 tokens (   41.71 ms per token,    23.97 tokens per second)
5.35.193.654 I slot print_timing: id  1 | task 788 |       total time =    5422.07 ms /   192 tokens
5.35.193.655 I slot print_timing: id  1 | task 788 |    graphs reused =        792
5.35.193.666 I slot      release: id  1 | task 788 | stop processing: n_tokens = 191, truncated = 0
5.35.193.943 I slot print_timing: id  2 | task 787 | prompt eval time =    2752.76 ms /   128 tokens (   21.51 ms per token,    46.50 tokens per second)
5.35.193.949 I slot print_timing: id  2 | task 787 |        eval time =    2669.56 ms /    64 tokens (   41.71 ms per token,    23.97 tokens per second)
5.35.193.950 I slot print_timing: id  2 | task 787 |       total time =    5422.32 ms /   192 tokens
5.35.193.950 I slot print_timing: id  2 | task 787 |    graphs reused =        792
5.35.193.960 I slot      release: id  2 | task 787 | stop processing: n_tokens = 191, truncated = 0
5.35.194.254 I slot print_timing: id  3 | task 789 | prompt eval time =    2752.98 ms /   128 tokens (   21.51 ms per token,    46.50 tokens per second)
5.35.194.255 I slot print_timing: id  3 | task 789 |        eval time =    2669.59 ms /    64 tokens (   41.71 ms per token,    23.97 tokens per second)
5.35.194.256 I slot print_timing: id  3 | task 789 |       total time =    5422.57 ms /   192 tokens
5.35.194.257 I slot print_timing: id  3 | task 789 |    graphs reused =        792
5.35.194.265 I slot      release: id  3 | task 789 | stop processing: n_tokens = 191, truncated = 0
5.35.195.642 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.35.195.664 I slot launch_slot_: id  0 | task 854 | processing task, is_child = 0
5.36.189.394 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3714414460
5.36.189.444 I slot launch_slot_: id  1 | task 864 | processing task, is_child = 0
5.42.127.715 I slot print_timing: id  1 | task 864 | prompt processing, n_tokens =   1022, progress = 0.50, t =   5.94 s / 172.11 tokens per second
5.45.362.339 I slot print_timing: id  1 | task 864 | prompt processing, n_tokens =   1533, progress = 0.75, t =   9.17 s / 167.12 tokens per second
5.48.806.463 I slot print_timing: id  1 | task 864 | prompt processing, n_tokens =   2044, progress = 1.00, t =  12.62 s / 162.00 tokens per second
5.49.177.398 I slot print_timing: id  1 | task 864 | prompt eval time =   12708.86 ms /  2048 tokens (    6.21 ms per token,   161.15 tokens per second)
5.49.177.402 I slot print_timing: id  1 | task 864 |        eval time =     279.04 ms /     8 tokens (   34.88 ms per token,    28.67 tokens per second)
5.49.177.403 I slot print_timing: id  1 | task 864 |       total time =   12987.90 ms /  2056 tokens
5.49.177.404 I slot print_timing: id  1 | task 864 |    graphs reused =        805
5.49.177.468 I slot      release: id  1 | task 864 | stop processing: n_tokens = 2055, truncated = 0
5.52.126.732 I slot print_timing: id  0 | task 854 | n_decoded =    100, tg =   6.16 t/s, tg_3s =   6.16 t/s
5.53.162.553 I slot print_timing: id  0 | task 854 | prompt eval time =     684.19 ms /   128 tokens (    5.35 ms per token,   187.08 tokens per second)
5.53.162.556 I slot print_timing: id  0 | task 854 |        eval time =   17282.57 ms /   128 tokens (  135.02 ms per token,     7.41 tokens per second)
5.53.162.557 I slot print_timing: id  0 | task 854 |       total time =   17966.76 ms /   256 tokens
5.53.162.558 I slot print_timing: id  0 | task 854 |    graphs reused =        911
5.53.162.571 I slot      release: id  0 | task 854 | stop processing: n_tokens = 255, truncated = 0
5.56.123.002 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.502
5.56.123.026 I slot launch_slot_: id  0 | task 984 | processing task, is_child = 0
5.59.099.551 I slot print_timing: id  0 | task 984 | prompt eval time =     664.08 ms /   128 tokens (    5.19 ms per token,   192.75 tokens per second)
5.59.099.554 I slot print_timing: id  0 | task 984 |        eval time =    2312.33 ms /    64 tokens (   36.13 ms per token,    27.68 tokens per second)
5.59.099.555 I slot print_timing: id  0 | task 984 |       total time =    2976.41 ms /   192 tokens
5.59.099.556 I slot print_timing: id  0 | task 984 |    graphs reused =        973
5.59.099.566 I slot      release: id  0 | task 984 | stop processing: n_tokens = 191, truncated = 0
5.59.100.628 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
5.59.100.647 I slot launch_slot_: id  0 | task 1049 | processing task, is_child = 0
6.00.058.884 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.997
6.00.058.905 I slot launch_slot_: id  1 | task 1059 | processing task, is_child = 0
6.05.985.133 I slot print_timing: id  1 | task 1059 | prompt processing, n_tokens =   1022, progress = 0.50, t =   5.93 s / 172.46 tokens per second
6.09.250.985 I slot print_timing: id  1 | task 1059 | prompt processing, n_tokens =   1533, progress = 0.75, t =   9.19 s / 166.78 tokens per second
6.12.651.549 I slot print_timing: id  1 | task 1059 | prompt processing, n_tokens =   2044, progress = 1.00, t =  12.59 s / 162.32 tokens per second
6.13.021.528 I slot print_timing: id  1 | task 1059 | prompt eval time =   12684.40 ms /  2048 tokens (    6.19 ms per token,   161.46 tokens per second)
6.13.021.536 I slot print_timing: id  1 | task 1059 |        eval time =     278.16 ms /     8 tokens (   34.77 ms per token,    28.76 tokens per second)
6.13.021.537 I slot print_timing: id  1 | task 1059 |       total time =   12962.56 ms /  2056 tokens
6.13.021.538 I slot print_timing: id  1 | task 1059 |    graphs reused =        986
6.13.021.605 I slot      release: id  1 | task 1059 | stop processing: n_tokens = 2055, truncated = 0
6.15.966.694 I slot print_timing: id  0 | task 1049 | n_decoded =    100, tg =   6.17 t/s, tg_3s =   6.17 t/s
6.17.017.064 I slot print_timing: id  0 | task 1049 | prompt eval time =     663.32 ms /   128 tokens (    5.18 ms per token,   192.97 tokens per second)
6.17.017.069 I slot print_timing: id  0 | task 1049 |        eval time =   17252.99 ms /   128 tokens (  134.79 ms per token,     7.42 tokens per second)
6.17.017.069 I slot print_timing: id  0 | task 1049 |       total time =   17916.31 ms /   256 tokens
6.17.017.070 I slot print_timing: id  0 | task 1049 |    graphs reused =       1092
6.17.017.080 I slot      release: id  0 | task 1049 | stop processing: n_tokens = 255, truncated = 0
6.17.018.874 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.502
6.17.018.895 I slot launch_slot_: id  0 | task 1179 | processing task, is_child = 0
6.17.018.988 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.062
6.17.019.043 I slot launch_slot_: id  1 | task 1180 | processing task, is_child = 0
6.17.019.079 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
6.17.019.087 I slot launch_slot_: id  2 | task 1181 | processing task, is_child = 0
6.17.019.105 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.670
6.17.019.112 I slot launch_slot_: id  3 | task 1182 | processing task, is_child = 0
6.22.302.326 I slot print_timing: id  0 | task 1179 | prompt eval time =    2681.90 ms /   128 tokens (   20.95 ms per token,    47.73 tokens per second)
6.22.302.331 I slot print_timing: id  0 | task 1179 |        eval time =    2601.27 ms /    64 tokens (   40.64 ms per token,    24.60 tokens per second)
6.22.302.332 I slot print_timing: id  0 | task 1179 |       total time =    5283.18 ms /   192 tokens
6.22.302.333 I slot print_timing: id  0 | task 1179 |    graphs reused =       1154
6.22.302.356 I slot      release: id  0 | task 1179 | stop processing: n_tokens = 191, truncated = 0
6.22.302.679 I slot print_timing: id  1 | task 1180 | prompt eval time =    2682.10 ms /   128 tokens (   20.95 ms per token,    47.72 tokens per second)
6.22.302.683 I slot print_timing: id  1 | task 1180 |        eval time =    2601.39 ms /    64 tokens (   40.65 ms per token,    24.60 tokens per second)
6.22.302.684 I slot print_timing: id  1 | task 1180 |       total time =    5283.49 ms /   192 tokens
6.22.302.685 I slot print_timing: id  1 | task 1180 |    graphs reused =       1154
6.22.302.700 I slot      release: id  1 | task 1180 | stop processing: n_tokens = 191, truncated = 0
6.22.302.992 I slot print_timing: id  2 | task 1181 | prompt eval time =    2682.15 ms /   128 tokens (   20.95 ms per token,    47.72 tokens per second)
6.22.302.996 I slot print_timing: id  2 | task 1181 |        eval time =    2601.47 ms /    64 tokens (   40.65 ms per token,    24.60 tokens per second)
6.22.302.997 I slot print_timing: id  2 | task 1181 |       total time =    5283.62 ms /   192 tokens
6.22.302.997 I slot print_timing: id  2 | task 1181 |    graphs reused =       1154
6.22.303.008 I slot      release: id  2 | task 1181 | stop processing: n_tokens = 191, truncated = 0
6.22.303.289 I slot print_timing: id  3 | task 1182 | prompt eval time =    2682.34 ms /   128 tokens (   20.96 ms per token,    47.72 tokens per second)
